Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
samyang-buldak-chicken-flavor-ramen-140g-pack-of-5,Samyang Buldak Chicken Flavor Ramen–140g (Pack of 5),"Unleash your taste buds with Samyang Buldak Hot Spicy Chicken Ramen, a culinary sensation renowned for its bold and fiery flavors. 

Explosive Spice: Experience the famous heat that made Buldak Ramen a global favorite. A tantalizing mix of sweetness and spice ignites your senses with every slurp.
Signature Sauce: Infused with a proprietary spicy sauce brewed through seven meticulous steps and simmered for eight hours, delivering a rich, vibrant flavor.
Chewy Noodles: Made from high-quality Korean high-gluten wheat, the noodles are 3mm thick, perfectly chewy, and resilient for an unforgettable texture.
Versatile Enjoyment: Perfect for personal meals, spicy challenges, or sharing with friends and family. It's the ultimate dish to heat up any occasion.

Since its introduction in 2012, Samyang Buldak Ramen has achieved remarkable global success. By 2023, cumulative sales surpassed 5 billion units.",K Moitves,,"","",false,Title,Default Title,,,,,,,,ND1010SY,498.951607,shopify,0,deny,manual,4.00,,true,true,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/8c6fd0047f619ff4372599e26df6c272be12d1b1d2b05ae51e0c0fe30936a242.jpg?v=1757014659,1,"",false,,,,lb,,2.00,draft
samyang-buldak-chicken-flavor-ramen-140g-pack-of-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/0f89eb664cda75f86b9baae3a12cb3819d0954128414447af7e23bff968cc45a.jpg?v=1757014660,2,"",,,,,,,,
samyang-buldak-chicken-flavor-ramen-140g-pack-of-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/e134aff2b6101a6a43c92cad7f728e837164a7b2a0b234dc18247f8bd825034a.jpg?v=1757014661,3,"",,,,,,,,
samyang-buldak-chicken-flavor-ramen-140g-pack-of-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/9a11d8823e177378f5d2648b0d770441808b2061bd34170972164912c6df979d.jpg?v=1757014660,4,"",,,,,,,,
bamboo-house-double-filling-mochi-strawberry-milk-6-3-oz,Bamboo House Double Filling Mochi Strawberry Milk 6.3 oz,"
Bamboo House Double Filling Mochi Strawberry Milk. Each piece combines a chewy mochi exterior and a delicious lively strawberry jam center that melts in your mouth. 

Made in Taiwan
",Cow Crack Wholesale,,"","",false,Title,Default Title,,,,,,,,bamboo-house-strawberry-milk-mochi,178.6019956875,shopify,0,deny,manual,4.99,,true,true,'4710623830682,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/aad9fdf7d81ed976ba9f2d303deffd4849f672c19f347d4dba73b2a972e34d4d.png?v=1757014659,1,"",false,,,,oz,,2.69,draft
samyang-buldak-potato-chips-habanero-lime-12-count,Samyang Buldak Potato Chips Habanero Lime 12 Count,"
Samyang Buldak Potato Chips Habanero Lime. An all new item from the viral Buldak soup company. 

**Each bag is 4.23 oz
",Cow Crack Wholesale,,"","",false,Title,Default Title,,,,,,,,buldak-habanero-lime-chips,1814.36948,shopify,0,deny,manual,7.99,,true,true,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/484f8b6378f6e04dd2ab2ba1dce9dbff0f0ec8b37d520508968cf3269bf2794b.png?v=1757014656,1,"",false,,,,lb,,3.99,draft
lucas-skwinkles-chunks,Lucas Skwinkles Chunks,"Lucas Skwinkles Chunks. Mango flavored hot candy with tamarindo flavored filling. *Each box has 

6-1.58 oz units ",Cow Crack Wholesale,,"","",false,Title,Default Title,,,,,,,,lucas-skwinkles-chunks,77.1107029,shopify,0,deny,manual,1.99,,true,true,'810008800553,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/c8780a30af055d067993456e22bc73c4bb5a4cbb79ee3352bdfac1c70bae160e.png?v=1757014654,1,"",false,,,,lb,,0.99,draft
bamboo-house-double-filling-mochi-cantaloupe-milk-6-3-oz,Bamboo House Double Filling Mochi Cantaloupe Milk 6.3 oz,"
Bamboo House Double Filling Mochi Cantaloupe Milk. Each piece combines a chewy mochi exterior and a delicious lively cantaloupe cream center that melts in your mouth. 

Made in Taiwan
",Cow Crack Wholesale,,"","",false,Title,Default Title,,,,,,,,bamboo-house-cantaloupe,178.6019956875,shopify,0,deny,manual,4.99,,true,true,'4710623830699,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/289fd5912c26f189ba858c7e7fd0fc10040dfc172954e5ae9b90a4e5893dcf37.png?v=1757014655,1,"",false,,,,oz,,2.69,draft
candy-paradise-freeze-dried-skitties-3-oz,Candy Paradise Freeze Dried Skitties 3 oz,Candy Paradise Freeze Skittles. Taste the rainbow in a freeze dried treat!,Cow Crack Wholesale,,"","",false,Title,Default Title,,,,,,,,candy-paradise-freeze-dried-skitties,99.2233309375,shopify,0,deny,manual,9.50,,true,true,'744365162873,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/fad7a0ea63bcb95b97e4feaac608c0b2d1db5c9bab1a1b41b83a7b2715bbd7b9.png?v=1757014650,1,"",false,,,,oz,,4.75,draft
amos-peelerz-peach-6-oz,Amos Peelerz Peach 6 oz,"
Amos Peelerz Peach peelable gummy candy. One of Tik Tok's viral trends!

Made with real fruit juice, these sophisticated gummy peaches are available in flavors that offer a soft texture, juicy taste, and fruitiness.

This candy offers a playful twist on enjoying the beloved fruit, with its unique outer skin that can be peeled away to reveal a softer, bouncy solid gel layer.

These adorable creative gummies are the perfect gift for any celebration.

Bring these gummies to birthdays, anniversaries, holidays, dinner parties, bachelorettes, and more!

Amos exclusive. Our recipe is clean, featuring attributes such as being fat-free, low in sodium, and gluten-free, catering to various dietary preferences.
",Cow Crack Wholesale,,"","",false,Title,Default Title,,,,,,,,amos-peelerz-peach,198.446661875,shopify,0,deny,manual,5.99,,true,true,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/b6945fab2bba19b3295e02b1fe7ae99c9b72ca1e58c019eaa6dca15bf678cc82.png?v=1757014647,1,"",false,,,,oz,,2.99,draft
hello-kitty-milk-soft-candy,Hello Kitty Milk Soft Candy,"Enjoy the unique taste of Hello Kitty Milk Soft Candy by Cow Crack Wholesale. Each 1.9 oz bag is filled with a milky soft candy. Our brand is dedicated to sourcing unique snacks, ensuring a delightful experience. Try this candy and experience a distinctive treat.",Cow Crack Wholesale,,"","",false,Title,Default Title,,,,,,,,hello-kitty-milk-soft-candy,54.4310844,shopify,0,deny,manual,3.99,,true,true,'074601171704,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/6cb04f6b73f75ca6fe93801401e32b512e2657c8cc6186a75b44b61186d26a7f.png?v=1757014647,1,"",false,,,,lb,,1.99,draft
qdol-pokemon-peach-soda,QDOL Pokemon Peach Soda,"QDOL Pokémon Peach Soda from China – collectible and delicious. Sip into the world of flavor and fun with iconic Pokémon designs. A must-have for enthusiasts!
",Cow Crack Wholesale,,"","",false,Title,Default Title,,,,,,,,,453.59237,shopify,0,deny,manual,3.99,,true,true,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/71555e27637cc6c482c0c25d90dd1916a78c1c2a4e38c7521a3f4d7282d6c960.png?v=1757014644,1,"",false,,,,lb,,1.99,draft
cowboy-boot-mints,Cowboy Boot Mints,"Experience a refreshing burst of coolness with Cow Crack Wholesale's Cowboy Boot Mints! Each tin, shaped like a classic boot, is filled with delightful peppermint mints. These mints are not just a treat; they're a unique, flavorful experience. Carry them in your pocket for a refreshing treat anytime, anywhere. Perfect for mint lovers and those who appreciate unique snacks!",Cow Crack Wholesale,,"","",false,Title,Default Title,,,,,,,,cowboy-boot-mints,45.359237,shopify,0,deny,manual,5.38,,true,true,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/68db4749eb37d57ffa1650ffb8c3c24ba69ba53693ebbfdba1062b430870ce8e.png?v=1757014644,1,"",false,,,,lb,,2.69,draft
hello-kitty-spicy-noodle,Hello Kitty Spicy Noodle,"
Hello Kitty Spicy Noodle 6 Count.

We’ve partnered with Sanrio to bring you our new Hello Kitty Spicy Noodle Soup. It's the perfect on-the-go meal when you need something quick and easy to prepare that's also delicious! 


• Vegan friendly, no animal biproduct
• 25% less sodium compared to other cup noodles 
• No MSG 
• Ready in 3 mins 
• Good source of protein, contributing to 11% of daily protein need
",Cow Crack Wholesale,,"","",false,Title,Default Title,,,,,,,,hello-kitty-spicy-noodle-soup,77.1107029,shopify,0,deny,manual,4.99,,true,true,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/3bab2eab3b5ca5ad41aedfe5265af7af72bd1053b6e6066b713f598cb3e77495.png?v=1757014641,1,"",false,,,,lb,,2.49,draft
el-super-leon-coco-leche,El Super Leon Coco Leche,"
El Super Leon Coco Leche. Coconut flavored candy variety in a clear 24 count display retail caddy. 
",Cow Crack Wholesale,,"","",false,Title,Default Title,,,,,,,,,72.5747792,shopify,0,deny,manual,2.99,,true,true,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/ce57f62a15b2b7685e50a068d8b41ede96854daa592ce39055d7cec45ffb1f76.png?v=1757014641,1,"",false,,,,lb,,1.39,draft
amos-peelerz-mango-6-oz,Amos Peelerz Mango 6 oz,"
Amos Peelerz Mango peelable gummy candy. One of Tik Tok's viral trends!

Made with real fruit juice, these sophisticated gummy mangoes are available in flavors that offer a soft texture, juicy taste, and fruitiness.

This candy offers a playful twist on enjoying the beloved fruit, with its unique outer skin that can be peeled away to reveal a softer, bouncy solid gel layer.

These adorable creative gummies are the perfect gift for any celebration.

Bring these gummies to birthdays, anniversaries, holidays, dinner parties, bachelorettes, and more!

Amos exclusive. Our recipe is clean, featuring attributes such as being fat-free, low in sodium, and gluten-free, catering to various dietary preferences.
",Cow Crack Wholesale,,"","",false,Title,Default Title,,,,,,,,peelerz-mango,198.446661875,shopify,0,deny,manual,5.99,,true,true,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/f9aa21cdde2242812c9b09179558a75273c9a4cf03066b94272ea2617838571e.png?v=1757014637,1,"",false,,,,oz,,2.99,draft
barbie-swirly-pop,Barbie Swirly Pop,"Attention all Barbie fans! Indulge in the joy of eating with this delightful candy-jewelry combination. Craft your personalized jewelry using these charming and tasty colored candy beads. Each package includes an assortment of colored candy beads, a pendant flower bead, and stretchy string to effortlessly complete your bracelet. Have a blast creating and enjoying your edible jewelry experience!
",Cow Crack Wholesale,,"","",false,Title,Default Title,,,,,,,,barbie-swirly-pop,56.69904625,shopify,0,deny,manual,2.99,,true,true,'060631932187,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/8d9aeb8c4bbb4ca2d5079dda842e887e10e53b2564b9e88317d1a82d9ae6dabc.png?v=1757014635,1,"",false,,,,oz,,1.49,draft
lorena-pelon-peloneta,Lorena Pelon Peloneta,Lorena Pelon Peloneta. Tamarind flavored lollipop filled with chili and covered with soft candy,Cow Crack Wholesale,,"","",false,Title,Default Title,,,,,,,,pelon-peloneta,22.6796185,shopify,0,deny,manual,0.79,,true,true,'719886212208,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/ec2c12b085fcc4d6bdc0a0eea094c73a1b1d2de9d8d7496cfe33231ce1507572.jpg?v=1757014631,1,"",false,,,,lb,,0.39,draft
bamboo-house-double-filling-mochi-mango-milk-6-3-oz,Bamboo House Double Filling Mochi Mango Milk 6.3 oz,"
Bamboo House Double Filling Mochi Mango Milk. Each piece combines a chewy mochi exterior and a delicious lively mango cream center that melts in your mouth. 

Made in Taiwan
",Cow Crack Wholesale,,"","",false,Title,Default Title,,,,,,,,bamboo-house-mango-mochi,178.6019956875,shopify,0,deny,manual,4.99,,true,true,'4710623830675,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/c770475d93b1910262d8c4fceaac49f52060317972234e95c7a5193862d1f800.png?v=1757014631,1,"",false,,,,oz,,2.69,draft
jarritos-bottle-spicy-gummies,Jarritos Bottle Spicy Gummies,"
Jarritos Bottle Spicy Gummies. The famous flavor of Jarritos Mexican soda now available in delicious spicy gummy candy! Flavors include mango, mandarin, pineapple, lime, tamarind, and fruit punch

**Each bag is 8 oz
",Cow Crack Wholesale,,"","",false,Title,Default Title,,,,,,,,jarritos-spicy-gummies,272.155422,shopify,0,deny,manual,5.99,,true,true,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/139034b9ac67aa3755db4671382e9be6eaabde4dcbcd9da70e83b7c48eaf299f.png?v=1757014630,1,"",false,,,,lb,,2.99,draft
hello-kitty-bbq-chips,Hello Kitty BBQ Chips,"
Hello Kitty BBQ Chips. Delicious barbecue seasoned wheat cracker chips. 


",Cow Crack Wholesale,,"","",false,Title,Default Title,,,,,,,,hello-kitty-barbecue-chips,124.73790175,shopify,0,deny,manual,3.99,,true,true,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/0352efbf142c7ac18e83bd3e1599f7d1b9aa0c35ef3d300e02f234dda7111a1f.png?v=1757014627,1,"",false,,,,lb,,2.29,draft
universal-chucky-michael-myers-candy-case,Universal Chucky & Michael Myers Candy Case,"Universal Chucky &amp; Michael Myers Candy Case. Collectible figures that open up with candy inside. Great novelty item!
",Cow Crack Wholesale,,"","",false,Title,Default Title,,,,,,,,,90.718474,shopify,0,deny,manual,7.99,,true,true,'609454690135,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/8f11c2ca383e29ef7135520bb5c9dec12cfa517b79f4147bfe05be27c7540a49.png?v=1757014626,1,"",false,,,,lb,,3.99,draft
tapatio-carne-asada-with-lime-ramen-noodle-soup,Tapatio Carne Asada with Lime Ramen Noodle Soup,"
Experience the ultimate fusion of flavors with Tapatio Carne Asada Ramen Noodle Soup. Infused with the bold zest of Tapatío spice, this ramen is crafted with premium ingredients for an unforgettable taste. Savor the extra chewy noodles, a touch of fresh vegetables, and aromatic broth in every bite.

",Cow Crack Wholesale,,"","",false,Title,Default Title,,,,,,,,tapatio-carne-asada-ramen,181.436948,shopify,0,deny,manual,4.99,,true,true,'50780707105776,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/658f9c5f290f73c8103e62028ef7d59c6a25b6edfba1ff3e8bd5bfb630f9367e.png?v=1757014624,1,"",false,,,,lb,,2.49,draft
lorena-pelon-chilito-rico-tamarindo,Lorena Pelon Chilito Rico Tamarindo,"Lorena Pelon Chilito Rico Tamarindo. Mexican candy seasoning that combines the sweet and tangy flavor of tamarindo with a spicy kick. It is often used to enhance the taste of fruits, candies, and snacks, providing a unique and flavorful twist.

**Each Bottle is 140g
",Cow Crack Wholesale,,"","",false,Title,Default Title,,,,,,,,,181.436948,shopify,0,deny,manual,5.99,,true,true,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/5f358a57a13f0eae2874b413acec200c4d5aeaadd4d4eda27f42e3549d9556d9.png?v=1757014621,1,"",false,,,,lb,,2.99,draft
jarritos-bottle-gummies,Jarritos Bottle Gummies,"
Jarritos Bottle Gummies. The famous flavor of Jarritos Mexican soda now available in delicious gummy candy! Flavors include mango, mandarin, pineapple, lime, tamarind, and fruit punch

**Each bag is 8 oz
",Cow Crack Wholesale,,"","",false,Title,Default Title,,,,,,,,jarritos-gummies,263.0835746,shopify,0,deny,manual,5.99,,true,true,'10018804059312,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/c0e6aba4e2e1c2f1284a22a94129f75d204e70f44b1061773962da0ea7089793.png?v=1757014620,1,"",false,,,,lb,,2.99,draft
prinzessin-haar-schokolade,Prinzessin Haar Schokolade,"Princess Hair Chocolate – The viral bestseller from Madame Chéri

Discover the PrincessHair Chocolate – a unique creation that is currently going viral and causing a sensation!

The combination of delicately melting, pink-colored white chocolate filled with creamy pistachio filling and fine Pişmaniye (Turkish cotton candy) provides an extraordinary taste experience and is also a real eye-catcher.

Whether as an impulse item at the checkout or as a highlight on the chocolate shelf – the PrincessHair Chocolate is the perfect choice for anyone who wants to offer their customers a special and trendy product.

Order now and benefit from the current hype!

FOR SECURE SHIPPING IN SUMMER: OUR COOL BOX IS AVAILABLE SEPARATELY AND RELIABLY PROTECTS YOUR CHOCOLATE FROM MELTING DURING THE SHIPPING PROCESS.",Kaffee und Schokolade GmbH,,"","",false,Title,Default Title,,,,,,,,,180.0,shopify,0,deny,manual,17.49,,true,true,'4262511310443,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/ca9d1d75cbc57eab65ed33c5eb8fdbb34eead0d527cd038428c865acfe17409a.jpg?v=1757014615,1,"",false,,,,g,,8.75,draft
prinzessin-haar-schokolade,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/36f3f2d18a74f7b2f30bbdafe07ebee02929bb3f2d91d82d659541e8e47b9de3.jpg?v=1757014616,2,"",,,,,,,,
prinzessin-haar-schokolade,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/36b37759f58b07426fdbc3e6d06a8dab539072816ad04612c704e2dd9b35d81f.jpg?v=1757014617,3,"",,,,,,,,
prinzessin-haar-schokolade,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/c63190f8960e648233d23933eae49eef0163229bfb6d7cb97eb572ffcf441633.jpg?v=1757014616,4,"",,,,,,,,
prinzessin-haar-schokolade,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/adf55cffeaf55b7c6aee97e97c3ec8dda189d308805c1b9a758207b20ff783bb.jpg?v=1757014617,5,"",,,,,,,,
prinzessin-haar-schokolade,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/4d57965eef6f0b8cb552977b9d97b1f7b8b88d19b0468220a0c10fad68157ebd.jpg?v=1757014616,6,"",,,,,,,,
dubai-style-chocolate-100-g,Dubai Style Chocolate (100 g),"Milk chocolate filled with velvety pistachio cream (35%) and crispy kadayif (5%)

Experience the exclusive taste of Dubai Style chocolate, a harmonious combination of fine chocolate and luxurious pistachio filling with crispy kadayif. This handcrafted delicacy combines the flavors of Dubai in every bite and offers an unparalleled taste experience. Perfect for special occasions or as an elegant gift. Let yourself be seduced by the exquisite quality and creamy enjoyment.

ALLERGEN INFORMATION: May contain traces of soy, gluten, and shell fruits as well as nuts due to production. Contains pistachios and whole milk powder.

FOR SAFE SHIPPING IN SUMMER: OUR COOLING BOX IS AVAILABLE SEPARATELY AND RELIABLY PROTECTS YOUR CHOCOLATE FROM MELTING DURING THE SHIPPING PROCESS.",Kaffee und Schokolade GmbH,,"","",false,Title,Default Title,,,,,,,,'07,100.0,shopify,0,deny,manual,10.26,,true,true,'0756892367621,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/926d8095567e642a36f66562a5e89311cf89e28be3e2d0cbdc462cfb221db308.jpg?v=1757014612,1,"",false,,,,g,,5.13,draft
dubai-style-chocolate-100-g,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/41eb48cde28f1a2a8cace18b47314c8facfc68b281280bcb175801ee40a54512.jpg?v=1757014615,2,"",,,,,,,,
dubai-style-chocolate-100-g,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/5b4b859e1ac88c6054495be0a02bc8c81a665e362227fc1eac0a37317905a14f.jpg?v=1757014614,3,"",,,,,,,,
dubai-style-chocolate-100-g,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/f72b2941ebeb219207cd1974dbcb26c525f294c95971d1030195adb2732f2bfc.jpg?v=1757014614,4,"",,,,,,,,
dubai-style-chocolate-100-g,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/f1c975f2bd280fe9ab65e6ce590b51aac3937d62bf924e0456e88f388a993fcb.jpg?v=1757014614,5,"",,,,,,,,
dubai-style-chocolate-100-g,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/5eeb173ad0b76116b01656a4db20fe2a6f7073900be383a5b5fd90c585cee035.jpg?v=1757014614,6,"",,,,,,,,
dubai-style-chocolate-100-g,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/e0b03cda8e286a9eb7167eda2cf362307b57f9db0760d4715e887ec26a1fdc20.jpg?v=1757014614,7,"",,,,,,,,
dubai-style-chocolate-100-g,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/3ba2e7f885a27272c6912269b8ee2995850350a51d921ca9db77c3568a9598e5.webp?v=1757014614,8,"",,,,,,,,
dubai-style-chocolate-100-g,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/93b4649b9d8616e66fbed6abcedeaa9ad6edf77b3e2aa0165dd82ef5c4820a5e.jpg?v=1757014614,9,"",,,,,,,,
dubai-style-chocolate-100-g,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/265bef00d8e5f655fed6d79f887521caaea980d0c78a483e05ac6c2057e1b649.webp?v=1757014614,10,"",,,,,,,,
pocky-matcha-70g-10ct,"Pocky Matcha, 70g, 10ct","Pocky is a made of a biscuit stick and then they are dipped in a few different flavors to choose from. A very popular Japanese sweet treat is now enjoyed in many different countries. The biscuit sticks fill the box so there is plenty to share with your friends. 

The Chocolate dipped Pocky Sticks were the original flavor and then came the chocolate dipped with almonds. What is wonderful about the Pocky is they dip the biscuit only about 3/4 of the way so that the bottom is free of chocolate, so your fingers don't get messy. Pocky is featured in many shows and anime. 

Be on the lookout for all the amazing flavors Pocky has to offer. 

*There is an additional fee for thermal and ice when buying meltable products.",Grandpa Joe's Candy Shop,,"","",false,Title,Default Title,,,,,,,,'7670,75.0,shopify,0,deny,manual,3.70,,true,true,'073141152532,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/1f797f13072cd45b2d7988a8da0d522798f7ee6b74a150af324fd58f1a2bf0a8.jpg?v=1757014610,1,"",false,,,,g,,1.85,draft
pocari-sweat-hydration-drink-w-electrolytes-16-9-oz-24-pk,POCARI SWEAT Hydration Drink w/ Electrolytes 16.9 oz - 24 pk,"Pocari Sweat – 24-Pack (16.9oz Bottles)
Stay hydrated with Pocari Sweat, the trusted isotonic drink made to replenish electrolytes and fluids lost through sweat. This 24-pack of BPA-free, 100% recyclable bottles ensures hydration anytime, anywhere.

✔ Superior Hydration – Formulated to match your body’s natural fluids, Pocari hydrates better than water alone, supporting faster recovery after exercise, heat, or illness.
✔ Trusted Worldwide – First launched in Japan in 1980, now enjoyed in 20+ countries and the Official Hydration Sponsor of the Tokyo Marathon.
✔ Light &amp; Refreshing Taste – Crisp, mildly sweet, and easy to drink anytime.
✔ For Active Lifestyles – Ideal for sports, workouts, hiking, cycling, hot weather, or daily hydration.
✔ Rapid Recovery – Helps prevent dehydration, fatigue and heat exhaustion, keeping you refreshed and energized throughout the day.

Stock up today and experience Pocari Sweat, the hydration drink trusted by athletes and active individuals worldwide!",Crystal Geyser Water Company,,"","",false,Title,Default Title,,,,,,,,'40359,13018.101019,shopify,0,deny,manual,42.99,,true,true,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/aecda423b68bda0b7e39081a52c81983db295ce3b7a8ba57550884ffbd009447.jpg?v=1757014607,1,"",false,,,,lb,,26.69,draft
pocari-sweat-hydration-drink-w-electrolytes-16-9-oz-24-pk,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/b2ae45e55701014f4d7cd43a560d3cda52b1c9a465b18ee8fbb8ed18cd1baa1a.jpg?v=1757014609,2,"",,,,,,,,
pocari-sweat-hydration-drink-w-electrolytes-16-9-oz-24-pk,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/fb803a9e5b0b6051ae6c3b4d88141d4d3212e86e8df4c5df3b55a023366251e5.jpg?v=1757014609,3,"",,,,,,,,
pocari-sweat-hydration-drink-w-electrolytes-16-9-oz-24-pk,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/e90ce7154746cb5387f8cba56298ba807d84fca6f47fde930140fdbfd06c6cd0.jpg?v=1757014609,4,"",,,,,,,,
pocari-sweat-hydration-drink-w-electrolytes-16-9-oz-24-pk,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/25c1a8bddaaeda5e21d3eef03d69f306874a05ae57c30d6a209eaff11fa73687.jpg?v=1757014609,5,"",,,,,,,,
pocari-sweat-hydration-drink-w-electrolytes-16-9-oz-24-pk,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/f5971e1b0fad3f7b1548434520bbc9389445588a5728b08035bf1cda80164b1c.jpg?v=1757014609,6,"",,,,,,,,
pocari-sweat-hydration-drink-w-electrolytes-16-9-oz-24-pk,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/1ce87a7926b45d984d7395ee0ce17a9dd3a26e822bf5f9801eced54ef24a4524.jpg?v=1757014609,7,"",,,,,,,,
pocari-sweat-hydration-drink-w-electrolytes-16-9-oz-24-pk,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/1a351abf536eb047d33ac8a6cbf6a1a0eda2dcd5e59ae4b82a70c6874ef0d138.png?v=1757014610,8,"",,,,,,,,
fanta-500ml-china-grape,Fanta 500ml (CHINA): Grape,"500ml x 12 (PRODUCT OF CHINA)

Discover the vibrant flavors of Fanta imported directly from China. Stock up wholesale and infuse your shelves with the zestful taste that customers adore. Elevate your beverage selection with this beloved international favorite. Order now to quench thirsts and delight taste buds alike!

*CONSUMER PRODUCTS FROM CHINA ARE LABELED WITH PRODUCTION DATES, NOT EXPIRATION. PLEASE REFER TO THE LABEL FOR PRODUCT SHELF LIFE*",Worldwide Snacks INC,,"","",false,Title,Default Title,,,,,,,,,6803.88555,shopify,0,deny,manual,5.00,,true,true,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/be582b967ae5e89218b679a09536594f08754ac37cac45412f4be2b1089e2123_c9bfcbbc-71b6-4e71-ba0d-a361a8a75aa0.jpg?v=1757014605,1,"",false,,,,lb,,2.50,draft
fanta-500ml-china-grape,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/072dab85dc7093a56fa82b7dddd76872c4a0bfb9b7474c810b5b764f07c6b606_a1512313-7f66-4fa9-8c4a-2ceb431d85fb.png?v=1757014606,2,"",,,,,,,,
fanta-500ml-china-grape,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/7ce486d47849fb38f683f5a662a9b6dcd5cb3461d9e31fa4a1477bc9648a6058_6048aaa2-fc8e-4a32-b36c-46fb69a00521.jpg?v=1757014606,3,"",,,,,,,,
